;Address;Bal;Balance;Label
1;34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo;252,597 BTC ($5,012,764,400);252,597;Exchange
;wallet: Binance-coldwallet;;;
2;bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97;168,010 BTC ($3,334,139,709);168,010;Exchange
;wallet: Bitfinex-coldwallet;;;
3;1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ;132,324 BTC ($2,625,946,189) +134 BTC / +4650 BTC;132,324;
4;3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb;125,351 BTC ($2,487,579,533) / +8750 BTC;125,351;Exchange
;wallet: Binance-BTCB-Reserve;;;
5;3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6;101,266 BTC ($2,009,612,643) / +48094 BTC;101,266;Exchange
;wallet: Binance-coldwallet;;;
6;bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt;94,643 BTC ($1,878,185,980);94,643 ;
7;37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs;94,505 BTC ($1,875,448,127);94,505 ;
;wallet: 77604498;;;
8;1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF;79,957 BTC ($1,586,742,218);79,957 ;
9;bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6;69,370 BTC ($1,376,643,533);69,370 ;
10;bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr;64,300 BTC ($1,276,026,438) / +7000 BTC;64,300 ;
11;3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS 2-of-3;61,419 BTC ($1,218,848,070) -6840 BTC / +4636 BTC;61,419 ;Exchange
;wallet: OKEX-coldwallet;;;
12;1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC;53,880 BTC ($1,069,243,913);53,880 ;
13;1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA;51,830 BTC ($1,028,568,533);51,830 ;
14;35PPdr9CSZuqwi2S7vj9ResHQCVTsYuB3z;50,562 BTC ($1,003,404,694) +50562 BTC / +50562 BTC;50,562 ;
15;bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp;49,826 BTC ($988,786,013);49,826 ;
16;bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h;47,191 BTC ($936,505,124) -2411 BTC / +33898 BTC;47,191 ;Exchange
;wallet: Binance-wallet;;;
17;1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os;44,000 BTC ($873,176,878);44,000 ;
18;1HiCfvt2NMyoTdUtjBApabZFCd5myJWJzG;38,962 BTC ($773,204,228);38,962 ;
19;3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a;37,927 BTC ($752,656,701);37,927 ;
20;3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh 2-of-2;37,115 BTC ($736,550,642) +18.28 BTC / +1888 BTC;37,115 ;Exchange
;wallet: CoinCheck;;;
21;3JZq4atUahhuA9rLhXLMhhTo133J9rF97j;36,400 BTC ($722,363,705) +211.71 BTC / -20199 BTC;36,400 ;Exchange
;wallet: Bitfinex-coldwallet;;;
22;bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug;36,000 BTC ($714,424,251);36,000 ;
23;38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6;34,067 BTC ($676,055,300) / -10000 BTC;34,067 ;Exchange
;wallet: OKEX-coldwallet;;;
24;bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er;32,542 BTC ($645,800,901) / +32542 BTC;32,542 ;
25;12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx;32,321 BTC ($641,406,693);32,321 ;
26;bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4;31,643 BTC ($627,959,443);31,643 ;
27;3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B;31,275 BTC ($620,655,802);31,275 ;
28;12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr;31,000 BTC ($615,192,997);31,000 ;
;wallet: 967;;;
29;385cR5DM96n1HvBDMzLHPYcw89fZAXULJP;29,002 BTC ($575,538,712);29,002 ;Exchange
;wallet: Bittrex-coldwallet;;;
30;bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m;28,392 BTC ($563,439,073);28,392 ;
31;12tkqA9xSoowkzoERHMWNKsTey55YEBqkv;28,151 BTC ($558,654,665);28,151 ;
32;bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg;27,791 BTC ($551,505,821) +8956 BTC / +7052 BTC;27,791 ;
;wallet: 62621121;;;
33;35c9KmMXzn7wu5TVttu8cB3aUjFzYMtEps;25,160 BTC ($499,299,420) +25160 BTC / +25160 BTC;25,160 ;
34;17MWdxfjPYP2PYhdy885QtihfbW181r1rn;24,495 BTC ($486,107,538);24,495 ;
35;1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2;24,181 BTC ($479,859,715);24,181 ;
;wallet: 30100391;;;
36;19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C;23,969 BTC ($475,662,202);23,969 ;
37;3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE;23,484 BTC ($466,033,459) +136.61 BTC / -14794 BTC;23,484 ;Exchange
;wallet: OKEX-coldwallet;;;
38;14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW;23,220 BTC ($460,798,349);23,220 ;
;wallet: 59995019;;;
39;1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT;22,900 BTC ($454,447,794);22,900 ;
40;18B1dqmRiMVt6mwUrqMUvkT14mChTwdXGT;20,180 BTC ($400,464,182) +20180 BTC / +20180 BTC;20,180 ;
41;bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p;20,136 BTC ($399,601,379);20,136 ;
;wallet: 74625152;;;
42;17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn;20,008 BTC ($397,056,600);20,008 ;
43;1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW;19,414 BTC ($385,277,244);19,414 ;
44;3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e;18,600 BTC ($369,115,910);18,600 ;
45;3H5JTt42K7RmZtromfTSefcMEFMMe18pMD;16,786 BTC ($333,115,358);16,786 ;Exchange
;wallet: Poloniex-coldwallet;;;
46;39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN;16,455 BTC ($326,551,623) / +249.9 BTC;16,455 ;
47;3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys;16,422 BTC ($325,889,537) -1937 BTC / +8891 BTC;16,422 ;
;wallet: 68880850;;;
48;15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb;16,320 BTC ($323,871,984) / +679.72 BTC;16,320 ;
49;34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP;16,307 BTC ($323,601,624);16,307 ;
50;1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG;15,746 BTC ($312,468,829);15,746 ;
51;1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn;15,000 BTC ($297,673,335);15,000 ;
52;3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ 3-of-4;14,770 BTC ($293,111,520);14,770 ;Exchange
;wallet: BITMEX-coldwallet;;;
53;3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8;14,510 BTC ($287,955,139);14,510 ;
54;1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8;14,500 BTC ($287,750,910) / -7900 BTC;14,500 ;
55;1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj;14,041 BTC ($278,634,330);14,041 ;
56;1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj;14,000 BTC ($277,828,476);14,000 ;
57;3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW;13,938 BTC ($276,603,479) +1620 BTC / +1028 BTC;13,938 ;
58;36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS 2-of-5;13,500 BTC ($267,915,037) / -1000 BTC;13,500 ;
;wallet: 87481923;;;
59;bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa;13,003 BTC ($258,043,516);13,003 ;
60;18saWjMCchDTGWunefuDJSWNdz4p6KtfBL;12,933 BTC ($256,646,959) / +3060 BTC;12,933 ;
61;1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv;12,854 BTC ($255,081,989) / +2981 BTC;12,854 ;
62;3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1;12,549 BTC ($249,031,486) -82.25 BTC / -8571 BTC;12,549 ;Exchange
;wallet: OKEX-coldwallet;;;
63;bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50;12,392 BTC ($245,927,678) +220.04 BTC / +900.53 BTC;12,392 ;
64;bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9;12,270 BTC ($243,505,548) +1300 BTC / -5730 BTC;12,270 ;
65;13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp;12,189 BTC ($241,891,050) / +2316 BTC;12,189 ;
66;1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG;12,024 BTC ($238,612,632) -1015 BTC / -3645 BTC;12,024 ;
67;3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R 2-of-3;12,000 BTC ($238,138,765);12,000 ;
68;15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv;12,000 BTC ($238,138,681) / +12000 BTC;12,000 ;
69;bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q;11,992 BTC ($237,981,958) -1496 BTC / -4986 BTC;11,992 ;
;wallet: 68700104;;;
70;1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb;11,400 BTC ($226,228,432);11,400 ;
71;3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh;11,102 BTC ($220,319,430) +1999 BTC / -7201 BTC;11,102 ;Exchange
;wallet: OKEX-coldwallet;;;
72;3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWc 2-of-3;11,062 BTC ($219,517,792);11,062 ;
;wallet: 77374090;;;
73;1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC;10,771 BTC ($213,740,078);10,771 ;
74;35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6 2-of-3;10,768 BTC ($213,685,446) -436.92 BTC / +830.51 BTC;10,768 ;
;wallet: 69400086;;;
75;bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302;10,500 BTC ($208,371,380);10,500 ;
76;bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40;10,297 BTC ($204,333,200);10,297 ;
77;bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t;10,296 BTC ($204,328,577);10,296 ;
78;1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr;10,009 BTC ($198,632,721);10,009 ;
79;bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq;10,002 BTC ($198,483,446);10,002 ;
80;bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj;10,001 BTC ($198,464,733);10,001 ;
81;1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV;10,000 BTC ($198,450,438);10,000 ;
82;bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up;10,000 BTC ($198,449,766);10,000 ;
83;14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec;10,000 BTC ($198,449,587);10,000 ;
84;1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT;10,000 BTC ($198,449,402);10,000 ;
85;35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo;10,000 BTC ($198,449,245);10,000 ;
86;1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm;10,000 BTC ($198,449,224);10,000 ;
87;1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt;10,000 BTC ($198,449,150);10,000 ;
88;12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me;10,000 BTC ($198,449,126);10,000 ;
89;1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt;10,000 BTC ($198,449,108);10,000 ;
90;1CPaziTqeEixPoSFtJxu74uDGbpEAotZom;10,000 BTC ($198,449,106);10,000 ;
91;1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK;10,000 BTC ($198,448,984);10,000 ;
;wallet: 33664448;;;
92;bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76;10,000 BTC ($198,448,951);10,000 ;
93;bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu;10,000 BTC ($198,448,901);10,000 ;
94;bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k;10,000 BTC ($198,448,901);10,000 ;
95;bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8;10,000 BTC ($198,448,901);10,000 ;
96;bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf;10,000 BTC ($198,448,901);10,000 ;
97;1EU2pMence1UfifCco2UHJCdoqorAtpT7;10,000 BTC ($198,448,894);10,000 ;
98;bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7;9,906 BTC ($196,582,914);9,906 B;
99;bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw;9,905 BTC ($196,562,936);9,905 B;
100;bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m;9,904 BTC ($196,550,561);9,904 B;